objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
ESO528-036,20.7293611,-26.5503056,E,37.89,0.993,20.943,13.485,13.525,13.025,10.371,12184.2,-23.253
PGC046187,13.2713981,7.0462356,E,55.29,1.172,21.775,16.484,14.274,13.244,10.143,15056,-22.833
NGC5532,14.2813659,10.8076728,S0,41.06,1.369,21.47,14.859,12.952,11.942,8.779,7408.4,-22.486
NGC1449,3.7675216,-4.1381043,S0,67.92,0.954,20.566,15.078,14.518,13.468,10.076,4034,-19.668
PGC1718326,10.8237163,24.8566353,E,90,0.558,18.233,16.946,16.685,17,12.724,16521.2,-20.646
PGC142868,10.6890313,31.6775347,SBab,60.96,0.749,20.222,17.26,16.395,16.7,12.504,10648.9,-20.074
PGC1809432,10.4837876,27.4809482,E,51.83,0.506,20.138,18.075,16.884,16.5,13.03,11341.7,-19.513
PGC046044,13.2423847,2.5646385,Sm,33.61,0.508,21.619,17.276,16.839,16.479,14.241,5971.2,-18.125
NGC0684,1.8372215,27.645753,Sb,83.94,1.47,22.058,13.76,13.33,12.34,8.824,3536,-21.402
NGC7805,0.024103,31.4337499,S0,81.28,1.151,21.065,14.668,14.198,13.288,10.169,4831.2,-20.385
PGC025871,9.1749502,20.5623256,SBb,50.49,0.993,21.716,17.207,15.633,14.653,13.047,8405,-20.275
NGC0262,0.8130874,31.9569932,S0-a,68,1.069,23.001,14.384,14.244,14.376,10.197,4525.2,-20.262
PGC3095930,10.2791923,42.1737127,S0-a,39.13,0.607,17.206,16.292,16.151,16.6,12.432,16496.4,-21.16
PGC2027988,10.8045244,33.2675202,E,29.5,0.41,21.982,17.756,17.132,17,14.446,6829.2,-18.096
PGC182874,11.8683022,-3.5044104,E,77.78,0.642,18.935,17.003,16.839,16.74,12.822,18921.1,-20.808
PGC031070,10.5261983,28.7836593,E,65.85,0.519,17.296,16.924,16.735,16.18,13.146,18065.6,-20.792
UGC12490,23.3106523,25.232816,SBa,46.43,1.042,20.98,14.161,14.191,13.571,10.655,8083.1,-21.88
PGC2807204,11.6459079,20.1400039,Sm,30.86,0.481,19.339,17.407,16.565,15.89,14.275,3102.6,-16.995
ESO409-003,0.0321689,-27.6272202,Sab,32.82,1.135,21.737,14.759,14.569,13.629,10.205,8501.3,-21.133
NGC7819,0.0734694,31.4720278,Sb,59.79,1.158,23.103,14.234,14.264,13.604,10.837,4955.8,-20.733
NGC0002,0.1214167,27.6780694,Sab,65.25,0.978,21.934,15.024,14.944,14.174,10.989,7557,-21.009
NGC0007,0.1391333,-29.9152222,Sc,86.33,1.392,22.881,14.167,14.347,13.837,12.693,1497.8,-18.359
PGC000611,0.1348901,14.8398194,SABa,70.55,0.691,21.278,17.606,16.156,15.7,12.495,13638.5,-20.989
NGC7836,0.1337861,33.0707778,E?,81.98,0.954,20.869,14.559,14.359,13.649,10.299,4896.1,-20.233
ESO538-025,0.1817407,-21.0674294,S0-a,90,1.193,21.62,15.095,15.085,14.649,11.008,7773.4,-20.372
NGC0078A,0.340499,0.8263684,S0-a,63.98,1.068,22.482,16.145,14.581,13.721,10.787,5072.8,-20.008
NGC0087,0.3539239,-48.6301385,IB,38.08,0.933,21.684,14.224,14.614,14.264,13.261,3601.9,-19.089
NGC0088,0.3560812,-48.640581,S0-a,61.61,0.928,21.092,15.259,14.979,14.409,12.508,3383,-18.553
NGC0089,0.356767,-48.6654344,S0-a,73.56,1.092,20.859,14.324,14.184,13.494,10.543,3365.7,-19.39
NGC0092,0.3588139,-48.6248921,Sa,69.87,1.217,21.109,14.033,13.933,13.193,9.411,3277.6,-19.722
NGC0095,0.3704222,10.4915833,SABc,43.31,1.164,21.916,13.319,13.279,12.609,9.476,5381.2,-21.95
ESO194-013,0.3772426,-48.5811256,SABc,36.9,1.104,21.629,13.807,13.917,13.627,11.158,3201,-19.529
NGC0101,0.3985066,-32.536217,SABc,19.28,1.285,22.592,13.288,13.368,12.838,10.427,3380.3,-20.105
NGC0131,0.4940328,-33.259799,SBb,73.84,1.258,21.426,13.793,13.773,13.213,10.52,1428,-18.254
NGC0137,0.5161389,10.2084444,S0,0,1.141,22.028,14.323,13.753,12.793,9.673,5276,-20.996
UGC00334,0.5652273,31.4500479,SBm,9.78,1.238,24.652,15.096,15.236,14.571,12.07,4627.3,-19.21
ESO242-014,0.575725,-43.6561667,S0,56.17,1.174,21.481,14.659,14.199,13.229,10.14,5941.8,-20.533
NGC0148,0.5709703,-31.7861493,S0,90,1.296,19.885,13.614,13.114,12.164,9.087,1611.4,-18.62
IC1558,0.5962841,-25.3740998,SABm,67.55,1.447,24.132,12.71,12.87,12.46,13.003,1553.1,-17.812
NGC0163,0.5999546,-10.1217242,E,29.17,1.154,21.077,15.488,13.684,12.744,9.814,5917.6,-21.198
NGC0165,0.6080334,-10.1061221,Sbc,51.17,1.212,23.074,15.271,13.993,13.193,10.481,5889.6,-21.129
PGC002243,0.6266123,0.2806787,Sb,64.02,0.96,21.21,15.939,15.092,14.09,10.807,10466,-21.398
PGC002457,0.6917847,-9.2352808,E?,90,0.726,21.237,18.228,16.716,15.58,12.006,16455,-20.608
NGC0216,0.6908012,-21.0480584,S0,84.18,1.129,21.067,13.604,13.704,13.214,10.603,1536.5,-16.97
PGC002516,0.7013962,-9.5344182,E?,51.18,0.837,23.194,16.889,16.16,15.42,12.637,15831.1,-21.138
NGC0227,0.7102306,-1.528738,E,55.6,1.281,21.137,13.567,13.117,12.157,9.135,5428.3,-21.552
ESO474-016,0.7146428,-23.5408493,S0,90,1.141,20.557,14.316,14.086,13.548,10.099,6705.5,-20.993
NGC0254,0.7909972,-31.4216944,S0-a,57.37,1.442,20.759,12.971,12.591,11.711,8.749,1626.1,-19.168
NGC0255,0.7964739,-11.4687138,Sbc,26.16,1.31,22.466,12.155,12.405,11.915,9.776,1597.5,-19.491
NGC0273,0.8467855,-6.8856855,S0,90,1.293,21.388,14.314,13.864,12.924,9.755,4748.7,-20.604
ESO411-024,0.8710389,-27.3495556,SBb,35.24,0.859,22.322,15.71,15.549,15.14,12.648,12059.5,-20.935
ESO079-007A,0.8736708,-65.2234167,S0,90,1.012,21.387,15.46,15.39,14.76,11.499,6597.7,-19.61
NGC0289,0.8784236,-31.2058056,SBbc,42.95,1.526,21.596,11.805,11.695,11.678,8.014,1629.6,-20.2
ESO474-038,0.8885444,-26.797875,Sa,80.04,0.926,22.236,15.98,15.936,15.27,12.233,10758,-20.565
PGC003357,0.93968,-1.2097047,S0-a,65.42,0.981,21.869,16.705,15.277,14.27,11.114,14925.9,-21.83
NGC0323,0.9449028,-52.9758889,E,47.45,1.26,21.425,14.099,13.569,12.529,9.487,7752,-21.827
NGC0309,0.9451801,-9.9138734,SABc,29.76,1.348,22.868,15.254,12.728,12.168,9.385,5653.4,-22.115
NGC0324,0.9541114,-40.9591504,S0,90,1.169,20.26,14.38,13.95,12.81,9.931,3451.7,-19.507
ESO411-034,0.9630343,-27.5016522,SABc,39.66,1.233,22.36,13.82,13.454,13.02,9.948,5589.7,-21.326
ESO475-005,1.0185792,-26.0584028,Sb,75.23,0.987,21.859,15.59,15.594,15.37,12.867,5645.9,-19.726
ESO412-003,1.0628625,-27.7531374,Sa,74.39,0.852,20.983,14.6,15.098,14.75,13.028,5262.6,-19.645
IC1616,1.0822756,-27.4292598,Sbc,23.83,1.211,22.409,13.65,13.407,12.89,9.896,5636,-21.262
ESO013-012,1.1172961,-80.3077015,S0-a,90,1.393,22.139,13.95,13.55,12.55,8.929,4284.8,-20.66
NGC0418,1.1765582,-30.2212465,Sc,50.4,1.296,22.51,13.109,13.149,12.579,9.971,5702.8,-21.8
IC1637,1.1836472,-30.4384722,SBc,40.8,1.227,22.265,13.575,13.525,12.885,9.936,6043.9,-21.435
NGC0434,1.2039194,-58.2479167,Sab,60.62,1.351,21.048,13.104,12.784,11.964,8.783,4924.7,-21.829
IC1646,1.2121845,15.7077284,SABc,19.61,0.81,22.453,16.627,15.731,15.1,12.414,11565.3,-20.795
PGC004366,1.2150086,15.5469233,S0,90,0.954,22.438,17.409,16.156,15.09,11.778,13865.1,-20.951
ESO352-020,1.2108611,-33.6686111,E-S0,72.76,1.09,22.398,15.689,15.219,14.159,11.202,10055.9,-20.849
NGC0440,1.2134694,-58.2822222,Sbc,54.82,1.026,20.306,13.627,13.727,13.177,10.171,5144,-20.998
PGC004398,1.2234624,15.7827267,Sb,53.95,0.693,22.172,17.027,16.195,15.51,12.442,11563,-20.635
PGC004392,1.2210257,15.5163993,E,59.07,1.036,21.523,17.056,15.239,14.17,10.96,14069.7,-21.89
PGC004476,1.2418919,0.324527,SBab,45.37,0.825,23.175,17.154,15.864,14.91,11.746,13079.6,-20.973
PGC004489,1.2468653,0.2299802,S0,45.69,0.578,21.398,18.209,16.976,15.99,12.617,13839.4,-19.904
PGC004518,1.2510147,0.4052082,SBb,43.86,0.803,22.514,17.25,15.775,14.82,11.814,13391.4,-21.092
PGC004513,1.2520398,0.4657922,E-S0,87.07,0.715,22.972,17.51,16.479,15.45,12.091,12715.2,-20.181
PGC004521,1.253579,0.3423116,S0,47.14,0.554,21.282,18.067,16.757,15.79,12.364,13507.1,-20.061
PGC004541,1.2586613,0.2991962,S0,49.96,0.678,20.876,17.962,16.4,15.34,11.773,13994.6,-20.514
NGC0467,1.3194734,3.3008277,S0,30.49,1.22,22.619,13.703,13.153,12.103,9.038,5568,-21.596
NGC0484,1.3263028,-58.5242222,E-S0,57.38,1.256,21.128,13.702,13.242,12.232,9.129,5168.8,-21.191
NGC0491A,1.3347151,-33.9002055,Scd,78.63,1.274,22.858,14.105,14.305,13.805,12.24,3583,-19.932
ESO542-006,1.3433278,-17.3404444,E-S0,68.76,1.128,21.685,14.889,14.469,13.449,10.277,9243,-21.384
ESO476-004,1.3520566,-26.7258653,E-S0,90,1.233,20.985,14.321,13.821,12.831,9.767,5866.9,-20.906
ESO113-041,1.358043,-61.3761718,SBb,79.13,1.174,22.503,15.315,15.035,14.185,11.521,8615.3,-21.298
ESO113-042,1.3584389,-61.3538889,E-S0,43.46,0.894,21.55,14.943,14.733,14.183,11.253,8814,-21.002
UGC00934,1.3912011,30.7844771,Sc,75.19,1.01,21.846,16.368,14.631,13.681,10.975,10492.2,-22.385
ESO113-045,1.396044,-58.8059308,S0,64.11,1.011,18.153,12.509,13.359,13.76,10.476,13850,-23.46
NGC0568,1.4658372,-35.7176917,E-S0,69.78,1.31,22.784,14.118,13.608,12.618,9.633,5679.5,-21.064
ESO113-050,1.4908289,-61.4653725,E-S0,78.45,1.177,22.244,14.789,14.369,13.339,10.256,8656,-21.273
PGC005593,1.5009926,0.7432563,E,90,0.566,22.842,18.017,17.734,17.184,14.666,5072.3,-16.736
ESO244-030,1.4975573,-42.3266137,SABb,68.58,1.082,21.482,14.63,14.61,13.96,11.043,7572,-21.254
NGC0600,1.5514662,-7.3114317,Scd,13.27,1.42,23.358,12.884,13.014,12.464,10.803,1842,-19.194
NGC0623,1.5851056,-36.4902222,E,54.22,1.287,22.402,14.095,13.555,12.515,9.632,8955,-22.207
PGC006001,1.6197597,0.8824141,E,77.14,0.396,20.99,18.325,17.801,17.251,15.051,5670.6,-17
ESO244-045,1.649578,-46.5732921,E-S0,41.54,1.108,21.226,14.101,13.691,12.741,9.771,6613.7,-21.297
NGC0640,1.6569122,-9.4011888,SBa,59.7,0.879,21.904,16.558,15.422,15.5,12.052,7501.9,-20.207
PGC006366,1.7323806,17.062,Sc,43.36,0.647,21.117,14.694,14.924,14.504,12.437,8027.7,-20.99
NGC0665,1.7489139,10.4230556,S0,66.86,1.21,21.578,13.808,13.178,12.138,8.903,5453.8,-21.773
NGC0685,1.795225,-52.7618056,Sc,41.3,1.479,22.952,11.715,11.895,11.435,9.406,1359.7,-19.448
PGC006630,1.808494,-0.0628742,E,65.57,0.512,22.259,17.406,16.803,16.293,14.106,5402.9,-17.869
PGC006626,1.8071558,-12.3812634,I,44.37,1.24,23.984,13.73,13.71,13.24,12.04,1616.8,-18.282
NGC0678,1.8235694,21.9972778,SBb,90,1.488,21.84,13.902,13.352,12.232,8.714,2795.7,-20.914
ESO245-006,1.8412938,-47.1659025,Sab,37.03,0.866,20.832,15.705,15.305,14.325,11.139,6200.3,-19.625
ESO354-003,1.8479325,-36.013029,E-S0,59.3,1.207,22.063,14.602,14.312,13.372,10.215,5742.4,-20.36
PGC006916,1.86855,35.41475,E-S0,41.11,0.77,21.954,14.381,14.581,14.021,10.916,4868.1,-19.988
ESO197-009,1.8795653,-48.8912083,SBbc,70.98,1.131,21.998,14.66,14.723,14.13,11.371,6187.7,-20.727
NGC0709,1.8807222,36.2234722,E-S0,90,0.86,21.76,15.658,15.228,14.258,11.096,3576,-18.85
PGC006973,1.8816164,-0.9020935,E,44.27,0.351,20.253,17.864,17.521,16.962,14.915,5669.3,-17.22
ESO197-011,1.9061486,-49.2605972,Sc,63.02,0.95,22.284,15.6,15.528,14.91,12.191,5938.1,-19.711
NGC0721,1.9126278,39.3835,Sbc,55.96,1.145,22.817,14.179,14.159,13.459,10.583,5596.1,-20.826
NGC0748,1.9393861,-4.4676427,Sb,71.45,1.408,22.166,13.602,13.422,12.642,9.679,5311.9,-21.685
NGC0755,1.9396295,-9.0613525,SBbc,78.06,1.458,22.031,14.213,13.099,12.589,10.23,1623.3,-19.271
NGC0782,1.9612153,-57.7901667,SBb,35.39,1.389,22.163,12.674,12.614,11.984,9.175,6084.3,-22.272
ESO197-016,1.9880994,-50.7203695,S0,90,1.006,18.629,15.32,14.519,13.7,10.502,6039,-20.274
NGC0779,1.9951765,-5.9641675,SABb,69.37,1.13,21.165,12.174,11.964,11.174,8.077,1388.7,-20.13
NGC0788,2.0184556,-6.8158056,S0-a,38.37,1.24,21.264,13.491,13.061,12.33,9.1,4081.4,-20.957
